dataset,model,seed,variant,sigma,acc,nll,ece,brier
cifar10,cnn_small,0,base,0.0,0.8289,0.5030270260346087,0.0158388074487447,0.2468137443065643
cifar10,cnn_small,0,base,0.25,0.1744,3.473576554769202,0.4515701532363891,1.1583853960037231
cifar10,cnn_small,0,base,0.0,0.8289,0.5030270260346087,0.0158388074487447,0.2468137443065643
cifar10,cnn_small,0,base,0.25,0.1744,3.473576554769202,0.4515701532363891,1.1583853960037231
cifar10,cnn_small,1,base,0.0,0.8283,0.5018212482144561,0.0100229308009147,0.2454063445329666
cifar10,cnn_small,1,base,0.25,0.1303,5.712031648128847,0.7282938361167908,1.5175362825393677
cifar10,cnn_small,1,base,0.0,0.8283,0.5018212482144561,0.0100229308009147,0.2454063445329666
cifar10,cnn_small,1,base,0.25,0.1303,5.712031648128847,0.7282938361167908,1.5175362825393677
cifar10,cnn_small,2,base,0.0,0.8128,0.5410950334766244,0.0178225915879011,0.2620982825756073
cifar10,cnn_small,2,base,0.25,0.1402,4.344238184675386,0.5353429317474365,1.264163851737976
cifar10,cnn_small,2,base,0.0,0.8128,0.5410950334766244,0.0178225915879011,0.2620982825756073
cifar10,cnn_small,2,base,0.25,0.1402,4.344238184675386,0.5353429317474365,1.264163851737976
cifar10,cnn_small,0,plr,0.0,0.7545,0.9149747966211054,0.2175187468528747,0.409743458032608
cifar10,cnn_small,0,plr,0.25,0.1582,2.79243868815748,0.3758732378482818,1.0790742635726929
cifar10,cnn_small,1,plr,0.0,0.7707,0.8884477947331682,0.2304097712039947,0.3978818953037262
cifar10,cnn_small,1,plr,0.25,0.1812,2.4252063020875183,0.3151199221611023,1.000897765159607
cifar10,cnn_small,2,plr,0.0,0.7578,0.943041733548611,0.2431925535202026,0.4264602065086365
cifar10,cnn_small,2,plr,0.25,0.1548,2.601630965365639,0.3286052942276001,1.0356653928756714
mnist,mlp,0,base,0.0,0.9844,0.0543619748365662,0.0071539059281349,0.0245847813785076
mnist,mlp,0,base,0.25,0.9699,0.1093921939819562,0.0142257995903491,0.0467668771743774
mnist,mlp,0,base,0.0,0.9844,0.0543619748365662,0.0071539059281349,0.0245847813785076
mnist,mlp,0,base,0.25,0.9699,0.1093921939819562,0.0142257995903491,0.0467668771743774
mnist,mlp,1,base,0.0,0.9826,0.0632918845296237,0.0084217451512813,0.0274758879095315
mnist,mlp,1,base,0.25,0.9661,0.1305667195466194,0.0171684958040714,0.0538916438817977
mnist,mlp,2,base,0.0,0.9819,0.063579184103472,0.0070881731808185,0.0285530369728803
mnist,mlp,2,base,0.25,0.9655,0.121458061194177,0.0151021238416433,0.0542672723531723
mnist,mlp,0,plr,0.0,0.9821,0.0610713385195836,0.0070567531511187,0.0288473721593618
mnist,mlp,0,plr,0.25,0.9629,0.11381900846911,0.0057089710608124,0.0554678589105606
mnist,mlp,1,plr,0.0,0.9803,0.0676431587773457,0.0080666132271289,0.0309365727007389
mnist,mlp,1,plr,0.25,0.9638,0.1170726705613675,0.0063216872513294,0.0558147653937339
mnist,mlp,2,plr,0.0,0.9777,0.069904621233692,0.0079706953838467,0.0328805707395076
mnist,mlp,2,plr,0.25,0.9627,0.1213123185583685,0.0080204186961054,0.0577088929712772
