run,path,dataset,method,seed,acc,nll,ece,brier
mnist_mlp_plr_20250829-120429,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120429,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_mlp_plr_20250829-120523,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120523,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_mlp_plr_20250829-120615,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120615,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_mlp_plr_20250829-120707,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120707,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_mlp_plr_20250829-120759,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120759,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_mlp_plr_20250829-120852,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120852,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_mlp_plr_20250829-120944,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-120944,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_mlp_plr_20250829-121036,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-121036,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_mlp_plr_20250829-121128,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-121128,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_mlp_plr_20250829-121219,C:\Users\Remi\projects\plr\runs\mnist_mlp_plr_20250829-121219,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9771666666666666,0.1466049577327484,0.0770667791366577,0.0470384061336517
mnist_gpu,C:\Users\Remi\projects\plr\runs\archive\mnist_arch_20250829_114851\mnist_gpu,mnist,"plr(l=0.7,t=0.3,k=2)",42,0.9606666666666668,0.2159674523517172,0.0968596786260604,0.0794711783528328
mnist_mlp_plr,C:\Users\Remi\projects\plr\runs\archive\mnist_arch_20250829_114851\mnist_mlp_plr,mnist,"plr(l=0.6,t=0.3,k=2)",42,0.9682,0.09967967053238727,0.010377341881394386,0.04724712297320366
