seed,ce_acc,plr_acc,ce_nll,plr_nll,ce_ece,plr_ece,ce_brier,plr_brier
0,0.8406,0.8187,0.47518088791189317,0.529054471586324,0.018914081156253815,0.009477542713284492,0.23187468945980072,0.25768616795539856
1,0.8337,0.811,0.49900997929935215,0.5413220419159418,0.024945374578237534,0.013532326556742191,0.24074266850948334,0.2640804648399353
2,0.8263,0.8082,0.5059558877462074,0.5589764318134212,0.01515456847846508,0.009788013994693756,0.24762563407421112,0.27339261770248413
3,0.8295,0.8079,0.5003348381458959,0.5563307023501094,0.013236797414720058,0.008928898721933365,0.2443692684173584,0.27043887972831726
4,0.822,0.8152,0.5152559978297994,0.54707727779316,0.033174969255924225,0.019919326528906822,0.25219377875328064,0.26554110646247864
5,0.8311,0.8073,0.4891644720035263,0.5551002391531498,0.007419889327138662,0.02127530798316002,0.23984551429748535,0.271931916475296
6,0.8225,0.8055,0.5091001870511453,0.5655958441239369,0.018215294927358627,0.006112742703408003,0.25174006819725037,0.27404913306236267
7,0.8275,0.8036,0.5039615506612802,0.558923943887783,0.0138745978474617,0.011560702696442604,0.24639219045639038,0.2739565968513489
8,0.8365,0.8186,0.47732651158224176,0.5284729581090468,0.019518675282597542,0.008315102197229862,0.232408344745636,0.25544074177742004
9,0.8368,0.8175,0.47803255349774904,0.5331516854370697,0.024885857477784157,0.013250131160020828,0.2339150607585907,0.26023972034454346
