run,dataset,method,seed,acc,nll,ece,brier
c10_smallcnn_ce_s0_full_v3,cifar10,ce,0,0.8406,0.47518088791189317,0.018914081156253815,0.23187468945980072
c10_smallcnn_ce_s1_full_v3,cifar10,ce,1,0.8337,0.49900997929935215,0.024945374578237534,0.24074266850948334
c10_smallcnn_ce_s2_full_v3,cifar10,ce,2,0.8263,0.5059558877462074,0.01515456847846508,0.24762563407421112
c10_smallcnn_ce_s3_full_v3,cifar10,ce,3,0.8295,0.5003348381458959,0.013236797414720058,0.2443692684173584
c10_smallcnn_ce_s4_full_v3,cifar10,ce,4,0.822,0.5152559978297994,0.033174969255924225,0.25219377875328064
c10_smallcnn_ce_s5_full_v3,cifar10,ce,5,0.8311,0.4891644720035263,0.007419889327138662,0.23984551429748535
c10_smallcnn_ce_s6_full_v3,cifar10,ce,6,0.8225,0.5091001870511453,0.018215294927358627,0.25174006819725037
c10_smallcnn_ce_s7_full_v3,cifar10,ce,7,0.8275,0.5039615506612802,0.0138745978474617,0.24639219045639038
c10_smallcnn_ce_s8_full_v3,cifar10,ce,8,0.8365,0.47732651158224176,0.019518675282597542,0.232408344745636
c10_smallcnn_ce_s9_full_v3,cifar10,ce,9,0.8368,0.47803255349774904,0.024885857477784157,0.2339150607585907
c10_smallcnn_plr_t0p35_s0_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",0,0.8187,0.529054471586324,0.009477542713284492,0.25768616795539856
c10_smallcnn_plr_t0p35_s1_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",1,0.811,0.5413220419159418,0.013532326556742191,0.2640804648399353
c10_smallcnn_plr_t0p35_s2_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",2,0.8082,0.5589764318134212,0.009788013994693756,0.27339261770248413
c10_smallcnn_plr_t0p35_s3_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",3,0.8079,0.5563307023501094,0.008928898721933365,0.27043887972831726
c10_smallcnn_plr_t0p35_s4_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",4,0.8152,0.54707727779316,0.019919326528906822,0.26554110646247864
c10_smallcnn_plr_t0p35_s5_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",5,0.8073,0.5551002391531498,0.02127530798316002,0.271931916475296
c10_smallcnn_plr_t0p35_s6_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",6,0.8055,0.5655958441239369,0.006112742703408003,0.27404913306236267
c10_smallcnn_plr_t0p35_s7_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",7,0.8036,0.558923943887783,0.011560702696442604,0.2739565968513489
c10_smallcnn_plr_t0p35_s8_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",8,0.8186,0.5284729581090468,0.008315102197229862,0.25544074177742004
c10_smallcnn_plr_t0p35_s9_full,cifar10,"plr(l=0.6,t=0.35,k=2,f)",9,0.8175,0.5331516854370697,0.013250131160020828,0.26023972034454346
c100_smallcnn_ce_s0_full_v3,cifar100,ce,0,0.4991,1.8423809597763834,0.027181847020983696,0.6328001022338867
c100_smallcnn_ce_s1_full_v3,cifar100,ce,1,0.4665,1.9824501487273205,0.015148842707276344,0.6694839000701904
c100_smallcnn_ce_s2_full_v3,cifar100,ce,2,0.01,4.605482626564895,0.0005389945581555367,0.990006148815155
c100_smallcnn_ce_s3_full_v3,cifar100,ce,3,0.01,4.6056802665131,0.0004920912906527519,0.9900076985359192
c100_smallcnn_ce_s4_full_v3,cifar100,ce,4,0.4907,1.8904704730721968,0.014671015553176403,0.6467986106872559
c100_smallcnn_ce_s5_full_v3,cifar100,ce,5,0.5209,1.7684909980508345,0.029682133346796036,0.6155132055282593
c100_smallcnn_ce_s6_full_v3,cifar100,ce,6,0.4684,1.9817000823684885,0.02975166030228138,0.6668016910552979
c100_smallcnn_ce_s7_full_v3,cifar100,ce,7,0.01,4.605525125431109,0.0005747741088271141,0.9900063276290894
c100_smallcnn_ce_s8_full_v3,cifar100,ce,8,0.5059,1.8345610235310807,0.030846336856484413,0.6321725249290466
c100_smallcnn_ce_s9_full_v3,cifar100,ce,9,0.4953,1.8743888622597804,0.012603569775819778,0.639653742313385
c100_smallcnn_plr_t0p35_s0_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",0,0.484,1.9341840321504618,0.03676093369722366,0.6567082405090332
c100_smallcnn_plr_t0p35_s1_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",1,0.4474,2.0716632483880733,0.025098081678152084,0.690284788608551
c100_smallcnn_plr_t0p35_s2_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",2,0.3296,2.598828158801115,0.021555159240961075,0.7967596054077148
c100_smallcnn_plr_t0p35_s3_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",3,0.01,4.6056802665131,0.0004920912906527519,0.9900076985359192
c100_smallcnn_plr_t0p35_s4_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",4,0.4595,2.015318784532668,0.01382091548293829,0.6745822429656982
c100_smallcnn_plr_t0p35_s5_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",5,0.4967,1.8572398544866828,0.011488975957036018,0.6372222304344177
c100_smallcnn_plr_t0p35_s6_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",6,0.4562,2.051898437210276,0.013166103512048721,0.6823816895484924
c100_smallcnn_plr_t0p35_s7_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",7,0.01,4.605525125431109,0.0005747741088271141,0.9900063276290894
c100_smallcnn_plr_t0p35_s8_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",8,0.4753,1.962035305892365,0.029428210109472275,0.6630255579948425
c100_smallcnn_plr_t0p35_s9_full,cifar100,"plr(l=0.6,t=0.35,k=2,f)",9,0.4722,1.9891094844552535,0.027485506609082222,0.6688766479492188
mnist_mlp_ce_s0_clean,mnist,ce,0,0.9784,0.06914299915845305,0.0035067531280219555,0.033561188727617264
mnist_mlp_ce_s1_clean,mnist,ce,1,0.9791,0.06646794541274739,0.0022612405009567738,0.03206269443035126
mnist_mlp_ce_s2_clean,mnist,ce,2,0.9768,0.07626224876067578,0.004669461399316788,0.03598710894584656
mnist_mlp_ce_s3_clean,mnist,ce,3,0.9782,0.06845289786033851,0.0031610806472599506,0.03297143429517746
mnist_mlp_ce_s4_clean,mnist,ce,4,0.9782,0.07191463181663517,0.0030281569343060255,0.034814272075891495
mnist_mlp_plr_l0p6_s0_clean,mnist,"plr(l=0.6,t=0.3,k=2,i)",0,0.9801,0.12629309857759294,0.06897953897714615,0.04010869562625885
mnist_mlp_plr_l0p6_s1_clean,mnist,"plr(l=0.6,t=0.3,k=2,i)",1,0.9783,0.11215693779478345,0.048965662717819214,0.03854252025485039
mnist_mlp_plr_l0p6_s2_clean,mnist,"plr(l=0.6,t=0.3,k=2,i)",2,0.9764,0.12311438089118729,0.05646655708551407,0.04214177280664444
mnist_mlp_plr_l0p6_s3_clean,mnist,"plr(l=0.6,t=0.3,k=2,i)",3,0.9779,0.1240506432243163,0.05970650911331177,0.0416301004588604
mnist_mlp_plr_l0p6_s4_clean,mnist,"plr(l=0.6,t=0.3,k=2,i)",4,0.9784,0.12895898511515388,0.06819534301757812,0.041329991072416306
mnist_mlp_plr_l0p7_s0_clean,mnist,"plr(l=0.7,t=0.3,k=2,i)",0,0.9799,0.1377813813712778,0.07797841727733612,0.043190158903598785
mnist_mlp_plr_l0p7_s1_clean,mnist,"plr(l=0.7,t=0.3,k=2,i)",1,0.9787,0.1206838032112846,0.05920162796974182,0.03983251750469208
mnist_mlp_plr_l0p7_s2_clean,mnist,"plr(l=0.7,t=0.3,k=2,i)",2,0.9767,0.13509236483634274,0.0678766518831253,0.044716328382492065
mnist_mlp_plr_l0p7_s3_clean,mnist,"plr(l=0.7,t=0.3,k=2,i)",3,0.9775,0.13208177907368804,0.06602184474468231,0.04364083707332611
mnist_mlp_plr_l0p7_s4_clean,mnist,"plr(l=0.7,t=0.3,k=2,i)",4,0.9771,0.13854367036042334,0.07427652180194855,0.0442388579249382
